Customer Type,Comments,Identified_Language,Translated_Language,Response,Categorisation,Sentiment,Sector,Flight No,Flight Date,Cabin Class,Seat No,Aircraft Version,Tail No,FFP Member,Gender,Age,Country,sentiment,sentiment_score,keywords,keywords_label,keywords_relevance,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,concepts_text,concepts_relevance
Passive,Amenity Kit: Comments,fr,Very well.,Très bien.,Compliment,Positive,MRU-CDG,NK0034,26/11/2018,ECONOMY,039E,359C,3BNBQ,NO,Male,26-34,France,positive,0.953397,,,,0.0,0.0,0.0,0.0,0.0,,
Detractor,Amenity Kit: Comments,en,Not taking well kids,Not taking well kids,No adequate products,Negative,MRU-MAA,NK0746,26/11/2018,ECONOMY,,343E,3BNBJ,NO,Male,35-44,Mauritius,negative,-0.864685,kids,negative,0.891414,0.09107,0.305002,0.101801,0.284415,0.166813,,
Detractor,Amenity Kit: Comments,fr,Up to the detail we see the regression of Air Mauritius,jusque dans le détail nous voyons la régression d'Air Mauritius,Poor quality/ Very dissatisfied,Negative,BOM-MRU,NK0749,26/11/2018,ECONOMY,011C,343E,3BNBI,NO,Female,45-54,Mauritius,neutral,0,detail,neutral,0.919812,0.025879,0.074895,0.06131,0.233599,0.030669,Mauritius,0.9044
Detractor,Amenity Kit: Comments,en,I appreciate this kit in economy. It is a welcome gesture ,I appreciate this kit in economy. It is a welcome gesture ,Compliment,Positive,SIN-MRU,NK0647,27/11/2018,ECONOMY,016B,332,3BNBM,NO,Female,55-64,Mauritius,positive,0.985698,welcome gesture,positive,0.991017,0.019344,0.014616,0.018495,0.882304,0.059551,Investment,0.866392
Detractor,Amenity Kit: Comments,en,Nothing ,Nothing ,None,Neutral,MRU-BOM,NK0748,27/11/2018,ECONOMY,026H,343C,3BNAU,YES,Male,45-54,India,negative,-0.786487,,,,0.0,0.0,0.0,0.0,0.916667,,
Promoter,Amenity Kit: Comments,et,NIL,NIL,None,Neutral,CDG-MRU,NK0045,27/11/2018,ECONOMY,038G,359C,3BNBQ,YES,Male,22-25,Mauritius,neutral,0,NIL,neutral,0.5,0.0,0.0,0.0,0.0,0.0,,
Passive,Amenity Kit: Comments,en,Poor quality and old fashion brand ,Poor quality and old fashion brand ,Poor quality,Negative,MRU-SIN,NK0646,28/11/2018,BUSINESS,003J,332,3BNBM,YES,Female,45-54,Hong Kong,negative,-0.952916,Poor quality,negative,0.999999,0.139145,0.233246,0.287953,0.099749,0.393274,,
Promoter,Amenity Kit: Comments,it,Not,Non,None,Neutral,CDG-MRU,NK0045,28/11/2018,ECONOMY,014B,359C,3BNBP,NO,Female,65-75,France,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Promoter,Amenity Kit: Comments,fr,Do not stop the pouches above all. ,Ne surtout pas arrêter les pochettes. ,Compliment,Positive,MRU-CDG,NK0034,29/11/2018,ECONOMY,039E,359C,3BNBP,NO,Female,26-34,France,neutral,0,pouches,neutral,0.891414,0.088473,0.074744,0.091248,0.179551,0.148831,,
Detractor,Amenity Kit: Comments,en,Did not received any.. ,Did not received any.. ,Did not receive,Negative,SIN-MRU,NK0647,29/11/2018,ECONOMY,036A,332,3BNBM,NO,Male,26-34,Maldives,negative,-0.791086,,,,0.088473,0.074744,0.091248,0.179551,0.148831,,
